producto,precioProducto
Audífonos Samsung Galaxy Buds 3 Pro True Wireless Bluetooth,3849
Samsung Galaxy Note 10 Plus 256GB 12GB,6899
JBL Audífonos inalámbricos Reflect Mini 2,1699
Xiaomi Bocina inalámbrica Mi Portable,799
Harman Kardon Bocina inalámbrica Aura Studio 3 HKAURAS3BLKAM,5399
Xiaomi Redmi Watch 4,2049
JBL Bocina portátil Go 3,649
Xiaomi Redmi Buds 4 Active,389
Xiaomi Redmi Watch 3 Active,829
Sony Control Inalámbrico para PlayStation 4 DualShock 4,1499
Huawei FreeBuds 5i,1899
